0 3 1 6 76
0 3 1 14 144
0 23 3 10 17
6 34 4 14 34
3 3 2 6 147
4 16 3 12 125
0 3 1 14 124
0 1 1 2 148
0 2 1 8 41
3 2 2 2 47
0 5 1 2 23
3 11 3 24 134
0 2 1 8 40
16 212 15 34 131
5 21 3 8 28
1 5 2 10 106
3 18 4 12 26
1 37 2 4 113
3 13 5 14 102
2 9 2 14 143
0 2 1 4 44
0 4 1 8 37
1 6 2 8 107
0 1 1 2 57
0 2 1 6 65
0 2 1 4 133
0 8 1 4 56
0 2 1 8 39
5 15 6 30 145
0 3 1 10 95
0 3 1 4 84
0 2 1 4 43
0 3 1 14 123
0 4 1 8 36
0 2 1 4 16
0 0 1 6 13
0 3 1 6 75
0 3 1 10 94
0 0 1 2 45
2 1 2 8 15
0 2 1 14 139
0 5 1 6 112
6 18 5 28 118
3 9 4 4 82
0 3 1 10 93
0 2 1 4 4
7 18 7 16 53
0 2 1 14 138
0 7 1 8 70
3 13 4 26 146
0 2 1 4 132
0 2 1 14 137
3 8 2 10 89
0 7 1 14 11
0 2 1 6 110
0 12 1 2 66
0 3 1 14 122
2 1 2 8 14
7 59 8 24 120
0 3 1 14 142
3 6 3 12 103
0 1 1 6 129
0 2 1 6 100
5 74 7 20 121
0 10 1 10 126
8 29 2 6 55
2 4 3 4 80
0 3 1 4 130
0 5 1 4 78
0 4 1 8 35
0 7 1 8 71
0 1 1 4 30
10 34 8 18 88
9 33 8 18 25
10 236 16 34 116
0 3 1 2 22
0 1 1 6 128
4 30 6 12 90
0 2 1 2 58
0 5 1 6 20
5 8 2 8 127
14 178 23 46 115
8 49 9 32 67
0 2 1 2 86
0 2 1 14 136
8 38 3 2 33
0 5 1 6 19
0 1 1 6 62
0 1 1 2 87
0 17 1 4 97
0 1 1 2 21
13 5 3 6 3
0 7 1 8 72
1 33 2 4 85
0 2 1 6 99
0 7 1 14 10
0 0 2 6 48
0 0 1 4 49
0 0 1 4 2
0 2 1 6 64
0 2 1 6 63
0 3 1 14 141
7 14 6 18 68
0 3 1 2 101
2 3 3 8 69
4 3 3 16 135
0 1 1 6 61
0 1 1 6 60
0 2 1 6 109
3 63 5 6 73
0 31 2 4 77
0 3 1 14 140
0 0 1 4 50
0 3 1 6 74
0 7 1 14 9
0 7 1 14 8
0 7 1 14 7
0 0 1 4 96
2 7 2 8 27
0 5 1 6 29
0 0 1 6 12
0 0 1 4 1
0 0 1 4 46
0 7 1 14 6
0 5 1 6 108
0 7 1 14 5
2 17 4 22 24
6 10 5 6 54
0 3 1 10 92
0 5 1 6 111
0 2 1 6 98
0 5 1 6 18
0 2 1 4 83
0 1 1 2 0
0 2 1 8 38
0 3 1 10 91
0 5 1 2 52
0 7 1 2 114
0 2 1 2 32
5 25 9 24 119
0 4 1 2 31
2 4 3 4 81
0 5 1 4 79
1 5 2 10 105
0 8 1 2 51
1 5 2 10 104
12 93 5 8 42
10 180 11 32 117
3 10 2 2 59
