0 0.44776 1.4989 1.5188 1.689 1.3917 1.1839 1.169 1.2838 1.7058 1.7879 1.5826 1.5749 1.6376 1.3082 1.5362 1.7399 1.5297 2.236 1.4964
0.44776 0 1.6654 1.633 1.8348 1.5755 1.3566 1.3641 1.3844 1.8052 1.8206 1.6786 1.7169 1.5954 1.4283 1.3356 1.8394 1.6323 2.2799 1.8147
1.4989 1.6654 0 0.50949 0.23346 1.5606 1.5358 1.2431 1.2905 1.6357 1.7904 1.5792 1.5145 1.5921 1.3345 1.6529 1.749 1.5331 2.2479 1.9005
1.5188 1.633 0.50949 0 0.48345 1.3405 1.3707 1.0322 1.0281 1.327 1.6467 1.295 1.1306 1.159 1.0589 1.3224 1.5098 1.2908 2.0717 1.9121
1.689 1.8348 0.23346 0.48345 0 1.6051 1.6053 1.3151 1.3478 1.6753 1.834 1.6137 1.554 1.6176 1.3725 1.6682 1.7643 1.5549 2.2527 2.0664
1.3917 1.5755 1.5606 1.3405 1.6051 0 0.29902 0.43564 1.0432 1.3633 1.6796 1.1917 0.97919 1.4886 1.0599 1.6091 1.5318 1.2416 2.0702 2.0722
1.1839 1.3566 1.5358 1.3707 1.6053 0.29902 0 0.46821 1.0985 1.4994 1.7238 1.2554 1.1383 1.5448 1.0634 1.5384 1.5405 1.2591 2.0757 2.0537
1.169 1.3641 1.2431 1.0322 1.3151 0.43564 0.46821 0 0.92108 1.2853 1.641 0.96761 0.77343 1.236 0.98677 1.4401 1.5002 1.1123 2.0601 1.8506
1.2838 1.3844 1.2905 1.0281 1.3478 1.0432 1.0985 0.92108 0 0.61533 0.84916 1.087 0.981 1.0853 0.8147 1.259 1.3305 1.0087 1.9114 1.6826
1.7058 1.8052 1.6357 1.327 1.6753 1.3633 1.4994 1.2853 0.61533 0 0.89273 1.4224 1.0377 1.2094 1.2013 1.6339 1.6235 1.4748 2.1556 1.8162
1.7879 1.8206 1.7904 1.6467 1.834 1.6796 1.7238 1.641 0.84916 0.89273 0 1.7471 1.7257 1.7402 1.5225 1.7957 1.8885 1.6627 2.3544 2.1568
1.5826 1.6786 1.5792 1.295 1.6137 1.1917 1.2554 0.96761 1.087 1.4224 1.7471 0 0.85803 0.94983 1.234 1.3461 1.5585 0.65379 2.1416 1.875
1.5749 1.7169 1.5145 1.1306 1.554 0.97919 1.1383 0.77343 0.981 1.0377 1.7257 0.85803 0 0.80217 1.1195 1.4689 1.5562 1.1783 2.0885 1.7794
1.6376 1.5954 1.5921 1.159 1.6176 1.4886 1.5448 1.236 1.0853 1.2094 1.7402 0.94983 0.80217 0 1.1869 0.92777 1.5438 1.1734 2.1091 1.9775
1.3082 1.4283 1.3345 1.0589 1.3725 1.0599 1.0634 0.98677 0.8147 1.2013 1.5225 1.234 1.1195 1.1869 0 1.1087 0.64012 0.89911 2.0272 1.704
1.5362 1.3356 1.6529 1.3224 1.6682 1.6091 1.5384 1.4401 1.259 1.6339 1.7957 1.3461 1.4689 0.92777 1.1087 0 1.3883 1.2157 2.1071 2.3241
1.7399 1.8394 1.749 1.5098 1.7643 1.5318 1.5405 1.5002 1.3305 1.6235 1.8885 1.5585 1.5562 1.5438 0.64012 1.3883 0 1.1462 2.526 1.9507
1.5297 1.6323 1.5331 1.2908 1.5549 1.2416 1.2591 1.1123 1.0087 1.4748 1.6627 0.65379 1.1783 1.1734 0.89911 1.2157 1.1462 0 1.9594 1.7871
2.236 2.2799 2.2479 2.0717 2.2527 2.0702 2.0757 2.0601 1.9114 2.1556 2.3544 2.1416 2.0885 2.1091 2.0272 2.1071 2.526 1.9594 0 2.4391
1.4964 1.8147 1.9005 1.9121 2.0664 2.0722 2.0537 1.8506 1.6826 1.8162 2.1568 1.875 1.7794 1.9775 1.704 2.3241 1.9507 1.7871 2.4391 0
