0 8 8 0 6 20 2 2 0 0 2 2 0 0 0 0
8 0 20 8 2 2 2 2 0 2 2 2 0 20 0 0
8 20 0 2 8 2 0 2 0 2 2 0 0 2 2 0
0 8 2 0 6 2 8 20 0 0 2 2 0 2 0 0
6 2 8 6 0 6 6 0 6 0 0 0 0 0 0 8
20 2 2 2 6 0 2 6 20 0 2 2 0 6 0 20
2 2 0 8 6 2 0 20 20 20 20 8 20 20 2 0
2 2 2 20 0 6 20 0 15 8 20 10 8 16 0 8
0 0 0 0 6 20 20 15 0 20 6 6 20 0 8 6
0 2 2 0 0 0 20 8 20 0 6 2 2 2 6 0
2 2 2 2 0 2 20 20 6 6 0 6 2 0 6 2
2 2 0 2 0 2 8 10 6 2 6 0 0 0 8 2
0 0 0 0 0 0 20 8 20 2 2 0 0 2 20 20
0 20 2 2 0 6 20 16 0 2 0 0 2 0 0 2
0 0 2 0 0 0 2 0 8 6 6 8 20 0 0 6
0 0 0 0 8 20 0 8 6 0 2 2 20 2 6 0
